,breakeven_inflation,CPI for Energy,M2SL in Billions of Dollars,ACDGNO in Million of Dollars,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)","Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)","Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)","Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",Natural Gas Futures Contract 1 (Dollars per Million Btu),Natural Gas Futures Contract 2 (Dollars per Million Btu),Natural Gas Futures Contract 3 (Dollars per Million Btu),Natural Gas Futures Contract 4 (Dollars per Million Btu),Global Price U.S. Dollars per Barrel,NG Consumption Billion Cubic Feet
2003-01-01,1.76,62.8403854210306,5793.0,34936.0,32.7,31.87,30.87,29.89,5.381,5.294,5.01,4.853,32.9152173913043,1937.9
2003-02-01,1.91,66.7340249882944,5829.2,34336.0,35.73,34.43,33.16,31.97,6.657,5.962999999999999,5.5870000000000015,5.416,35.8525,2029.8
2003-03-01,1.87,70.2826585179526,5849.9,34082.0,33.16,31.69,30.48,29.66,5.7860000000000005,5.541,5.441,5.398,33.3157142857143,1865.7
2003-04-01,1.78,68.0647625619163,5887.1,33536.0,28.14,26.98,26.52,26.21,5.358,5.43,5.465,5.466,28.3281818181818,1833.6
2003-05-01,1.66,66.0440129130831,5947.3,34324.0,28.07,27.54,27.03,26.62,5.926,6.007999999999999,6.042000000000002,6.016,28.2018181818182,1823.0
2003-06-01,1.61,67.2761773331033,5984.0,34353.0,30.52,29.49,28.85,28.3,5.925,6.005,6.021,6.057,30.71,1689.5
2003-07-01,1.87,67.4240370635058,6030.6,36246.0,30.7,30.26,29.75,29.29,5.034,5.047,5.097,5.311,30.734347826087,1807.7
2003-08-01,2.13,69.2969269819365,6088.7,33995.0,31.6,31.42,30.96,30.39,4.978,5.035,5.256,5.479,31.5838095238095,1836.4
2003-09-01,2.08,71.2683900539688,6060.8,36628.0,28.31,28.29,28.0,27.71,4.667,4.898,5.155,5.319,28.4331818181818,1801.2
2003-10-01,2.21,67.4733236403066,6051.5,36308.0,30.35,30.25,29.88,29.46,4.9860000000000015,5.307,5.481,5.428,30.3217391304348,1852.3
2003-11-01,2.34,65.6004337218758,6056.6,35731.0,31.06,30.67,30.27,29.82,4.834,5.017,5.001,4.849,31.024,1828.2
2003-12-01,2.29,64.9597082234654,6054.7,35080.0,32.14,31.99,31.51,30.99,6.4689999999999985,6.434,5.997999999999998,5.148,32.1786956521739,1851.0
2004-01-01,2.26,67.7197565243106,6063.2,34731.0,34.22,33.58,33.04,32.48,6.272,6.202000000000001,5.51,5.336,34.1240909090909,1926.8
2004-02-01,2.32,69.2969269819365,6102.1,35562.0,34.5,33.54,32.91,32.37,5.363,5.278,5.2410000000000005,5.25,34.7215,1952.3
2004-03-01,2.36,70.5290914019567,6137.8,37237.0,36.72,36.03,35.27,34.64,5.542000000000002,5.629,5.674,5.71,36.7313043478261,1789.5
2004-04-01,2.45,71.9091155523793,6178.8,34958.0,36.62,36.12,35.7,35.22,5.765,5.8439999999999985,5.907,5.935,36.7404545454545,1848.9
2004-05-01,2.63,75.9506148500456,6255.4,34080.0,40.28,40.09,39.57,38.95,6.398,6.472,6.5,6.474,40.2657142857143,1895.4
2004-06-01,2.58,78.7106631508909,6257.7,34394.0,38.05,38.18,38.05,37.78,6.334,6.388,6.4,6.452000000000001,38.05,1822.3
2004-07-01,2.48,77.0349195396634,6271.4,31368.0,40.81,40.63,40.0,39.6,6.064,6.105,6.205,6.4860000000000015,40.7113636363636,1778.9
2004-08-01,2.42,76.5420537716553,6297.5,34516.0,44.88,44.39,43.96,43.44,5.471,5.643,6.229,6.659,44.9236363636364,1741.7
2004-09-01,2.33,76.0491880036472,6332.2,34385.0,45.94,45.68,45.18,44.65,5.2189999999999985,5.949,6.5939999999999985,6.901,45.8422727272727,1868.7
2004-10-01,2.37,77.7249316148747,6360.4,33977.0,53.09,52.63,52.1,51.47,7.371,8.392999999999999,8.818999999999997,8.748,53.2461904761905,1855.6
2004-11-01,2.51,78.168510806082,6386.9,35563.0,48.48,48.58,48.5,48.22,7.608,8.213,8.246,7.903,48.5204545454546,1870.1
2004-12-01,2.56,75.7534685428424,6405.4,35638.0,43.26,43.56,43.62,43.45,6.8279999999999985,6.922999999999999,6.855,6.42,43.2734782608696,1896.1
2005-01-01,2.5,74.8663101604278,6411.7,34201.0,46.85,47.05,46.92,46.63,6.186,6.231,6.159,6.178,46.8942857142857,1850.8
2005-02-01,2.54,76.4927671948545,6420.0,34873.0,48.05,48.59,48.81,48.74,6.2029999999999985,6.274,6.3420000000000005,6.401,47.982,1821.5
2005-03-01,2.71,79.2528154956998,6429.0,33079.0,54.63,55.31,55.61,55.67,7.045,7.158,7.245,7.316,54.0430434782609,1886.6
2005-04-01,2.63,84.2307597525814,6443.0,35209.0,53.22,54.6,55.37,55.71,7.15,7.247999999999998,7.342,7.401,52.9628571428571,1836.1
2005-05-01,2.49,83.4914611005693,6460.2,34876.0,49.87,51.27,51.91,52.29,6.4860000000000015,6.564,6.631,6.676,49.9063636363636,1836.6
2005-06-01,2.33,84.4771926365854,6492.7,34543.0,56.42,57.32,57.94,58.32,7.206,7.272,7.308,7.41,56.3890909090909,1872.3
2005-07-01,2.3,87.9765395894428,6524.3,34342.0,59.03,60.0,60.65,61.07,7.579,7.622000000000001,7.727,8.27,58.67,1885.4
2005-08-01,2.37,91.9687523103083,6557.1,35889.0,64.99,65.73,66.26,66.62,9.427,9.486,9.884,10.265999999999998,64.955652173913,1866.7
2005-09-01,2.5,102.516079745681,6590.9,37404.0,65.55,65.91,66.35,66.71,12.111,12.59,13.024,13.255999999999998,65.6304545454545,1796.7
2005-10-01,2.52,100.692476404051,6625.2,36277.0,62.27,62.08,62.33,62.54,13.454,13.827,14.178,14.01,62.3638095238095,1696.3
2005-11-01,2.48,92.4616180783164,6641.7,34992.0,58.34,59.14,59.61,59.9,11.695,12.252,12.267,11.880999999999998,58.2990909090909,1746.2
2005-12-01,2.35,88.7158382414549,6668.5,35774.0,59.45,60.24,60.8,61.17,13.425,13.52,13.353,10.906,59.3604545454546,1884.3
2006-01-01,2.41,93.3980630375317,6711.0,36115.0,65.54,66.19,66.68,67.04,9.136,9.276,9.203,9.256,65.2104545454545,1567.5
2006-02-01,2.52,91.8701791567067,6735.2,35831.0,61.93,63.15,64.04,64.72,7.52,7.692,7.84,7.971,61.5285,1746.2
2006-03-01,2.52,92.9544838463244,6749.6,36191.0,62.97,64.46,65.3,65.87,6.979,7.16,7.335,7.502999999999999,62.8895652173913,1825.4
2006-04-01,2.58,99.2631656768279,6786.7,34888.0,70.16,71.61,72.43,72.88,7.2639999999999985,7.494,7.722,7.922999999999999,69.5315,1793.6
2006-05-01,2.66,103.156805244092,6793.4,36780.0,70.96,72.08,72.88,73.47,6.372000000000001,6.635,6.894,7.247999999999998,70.9521739130435,1850.7
2006-06-01,2.58,104.142536780108,6831.4,36700.0,70.97,71.69,72.37,72.9,6.385,6.624,6.917999999999998,7.396,70.9318181818182,1886.8
2006-07-01,2.58,106.015426698539,6872.9,32293.0,74.46,75.71,76.44,76.95,6.222,6.407,6.834,8.258,74.3590476190476,1965.4
2006-08-01,2.59,105.818280391335,6903.7,33904.0,73.08,74.28,75.11,75.74,6.989,7.332999999999998,9.114,10.51,73.0417391304348,1923.1
2006-09-01,2.4,98.1295744104093,6930.6,33161.0,63.9,64.84,65.75,66.54,5.218,6.7879999999999985,8.333,8.887,64.0747619047619,1841.4
2006-10-01,2.32,89.3565637398654,6980.0,33778.0,59.14,60.83,62.07,63.0,6.632999999999999,7.805,8.251,8.282,58.8504545454545,1948.3
2006-11-01,2.31,88.9129845486582,7014.8,33700.0,59.4,61.18,62.42,63.37,7.995,8.404,8.435,8.272,59.0677272727273,1852.0
2006-12-01,2.31,91.278740235097,7057.9,36221.0,62.09,63.16,64.06,64.75,7.1610000000000005,7.295,7.324,7.273,61.9923809523809,1713.3
2007-01-01,2.32,90.4738904359398,7095.9,33741.0,54.35,55.34,56.16,56.85,6.775,6.837999999999999,6.9,6.978,54.7778260869565,1788.1
2007-02-01,2.36,90.9095837748589,7111.7,34131.0,59.39,60.2,60.96,61.58,7.546,7.597,7.6720000000000015,7.755,59.257,2094.1
2007-03-01,2.38,97.0595628280638,7145.5,35076.0,60.74,62.49,63.54,64.31,7.221,7.347,7.48,7.612999999999999,60.6018181818182,1839.4
2007-04-01,2.43,102.153823406195,7217.7,35810.0,64.04,65.84,67.07,67.84,7.629,7.762,7.916,8.02,63.9528571428572,1936.0
2007-05-01,2.38,107.972596663299,7231.3,36145.0,63.53,64.92,66.02,66.84,7.8210000000000015,7.977,8.094,8.162,63.5073913043478,1902.5
2007-06-01,2.41,108.966706917371,7264.5,35913.0,67.53,68.18,68.85,69.37,7.502999999999999,7.636,7.725,7.926,67.4919047619048,1889.4
2007-07-01,2.36,107.086916878188,7294.8,36513.0,74.15,74.2,74.0,73.83,6.399,6.5139999999999985,6.763,7.616,74.0177272727273,1854.2
2007-08-01,2.23,103.153848049484,7371.2,35913.0,72.36,72.06,71.66,71.25,6.1370000000000005,6.399,7.284,8.068999999999999,72.3782608695652,2082.3
2007-09-01,2.26,103.32290100791,7389.3,34447.0,79.63,78.47,77.45,76.71,6.188,7.002000000000002,7.718,8.046,79.613,2001.2
2007-10-01,2.33,102.313019049262,7403.3,35181.0,85.66,84.66,83.77,82.99,7.223,7.875,8.201,8.212,85.9039130434783,1920.0
2007-11-01,2.38,107.942038985682,7428.2,34931.0,94.63,93.67,92.77,91.95,7.778,8.104,8.147,7.992000000000001,94.9045454545454,1915.3
2007-12-01,2.31,107.201261736366,7458.4,34044.0,91.74,91.59,91.29,90.92,7.178,7.275,7.286,7.282,91.7590476190476,1926.6
2008-01-01,2.27,108.166785775894,7492.2,33781.0,92.93,92.59,92.19,91.82,7.991,7.9620000000000015,7.943,7.9860000000000015,93.0026086956522,1965.9
2008-02-01,2.33,108.090884447621,7577.0,33725.0,95.35,95.19,94.93,94.66,8.642000000000001,8.675,8.713,8.776,95.3895238095238,1957.9
2008-03-01,2.42,113.608023854703,7642.8,30618.0,105.42,104.47,103.58,102.82,9.624,9.7,9.775,9.86,105.344761904762,1991.0
2008-04-01,2.32,118.383400280933,7685.7,31541.0,112.46,111.8,111.09,110.41,10.288,10.394,10.501,10.558,112.618636363636,1958.1
2008-05-01,2.42,126.718746149486,7697.5,30704.0,125.46,125.31,125.08,124.84,11.380999999999998,11.511,11.588,11.617,125.655454545455,1934.5
2008-06-01,2.47,135.844155844156,7715.0,30747.0,134.02,134.52,134.78,134.89,12.784,12.88,12.913,12.999,133.927142857143,1952.3
2008-07-01,2.44,138.412972227014,7761.4,29320.0,133.48,134.09,134.52,134.88,11.067,11.134,11.26,11.586,133.895652173913,1910.1
2008-08-01,2.21,131.241775302496,7776.5,28630.0,116.69,116.92,117.31,117.66,8.301,8.435,8.815,9.196,116.640476190476,1844.9
2008-09-01,1.84,127.169225461446,7846.5,29037.0,103.76,103.03,103.21,103.48,7.485,7.8,8.17,8.381,104.460454545455,1828.0
2008-10-01,1.06,114.12849010572,7955.0,26935.0,76.72,76.83,77.14,77.52,6.727,7.009,7.261,7.302,76.6147826086957,1924.7
2008-11-01,0.64,93.6139382439192,8005.6,26135.0,57.44,58.22,59.16,60.12,6.7,6.824,6.864,6.835,57.151,1937.8
2008-12-01,0.25,84.3579191207274,8182.0,24497.0,42.04,45.16,47.2,48.78,5.794,5.8210000000000015,5.8439999999999985,5.892,40.6486956521739,1919.7
2009-01-01,0.61,86.0652061411075,8263.3,22504.0,41.92,46.39,49.11,50.9,5.07,5.065,5.127000000000002,5.206,41.6309090909091,1952.3
2009-02-01,1.12,88.0953202395328,8292.5,21736.0,39.26,43.13,45.47,46.92,4.382,4.412,4.501,4.631,39.0685,1910.2
2009-03-01,1.11,87.4610019961064,8358.4,21850.0,48.06,49.5,50.75,51.78,4.002,4.093,4.211,4.3439999999999985,47.9754545454545,1923.5
2009-04-01,1.36,88.5699499741246,8361.3,21686.0,49.95,52.01,53.82,55.15,3.5610000000000004,3.69,3.84,3.954,49.9195454545455,1882.6
2009-05-01,1.57,92.1210478326228,8418.7,20841.0,59.21,60.14,61.0,61.79,3.934,4.0539999999999985,4.168,4.258,59.2152380952381,1846.7
2009-06-01,1.86,101.238571675004,8428.2,19562.0,69.7,70.47,71.29,71.98,3.935,4.102,4.25,4.499,69.6213636363637,1860.4
2009-07-01,1.74,99.5283274600162,8433.0,21525.0,64.29,65.57,66.82,67.85,3.551,3.705,3.975,4.6530000000000005,64.2339130434783,1848.5
2009-08-01,1.82,101.023189334385,8432.5,22490.0,71.14,72.57,73.67,74.47,3.305,3.709,4.57,5.295,71.06,1905.8
2009-09-01,1.76,99.6786515192587,8431.8,22778.0,69.47,69.91,70.4,70.9,3.462,4.4430000000000005,5.122999999999998,5.375,69.3786363636364,1962.5
2009-10-01,1.91,98.1778752556741,8458.8,23406.0,75.82,76.29,76.83,77.35,4.78,5.54,5.83,5.877999999999999,75.7722727272727,1953.8
2009-11-01,2.12,100.557431183617,8488.8,24534.0,78.15,78.93,79.71,80.43,4.628,4.948,5.018,5.039,77.9504761904762,1823.7
2009-12-01,2.23,99.7072377338032,8483.9,25155.0,74.6,76.0,77.08,77.91,5.3439999999999985,5.396,5.402,5.409,74.6030434782609,1984.3
2010-01-01,2.36,102.528894255649,8446.1,26250.0,78.4,78.85,79.41,79.99,5.599,5.561,5.532,5.579,78.3861904761905,2007.9
2010-02-01,2.27,100.768870598093,8495.7,23734.0,76.45,76.84,77.32,77.8,5.215,5.211,5.272,5.3439999999999985,76.299,2042.8
2010-03-01,2.22,103.501318415929,8492.8,24603.0,81.29,81.66,82.06,82.44,4.301,4.371,4.447,4.5360000000000005,81.2504347826087,1919.2
2010-04-01,2.35,104.969072673058,8523.1,25512.0,84.58,85.92,87.05,87.77,4.088,4.181,4.3,4.393,84.4954545454546,1841.6
2010-05-01,2.11,105.652184627517,8577.8,26152.0,74.12,76.89,78.41,79.35,4.155,4.245,4.323,4.39,73.7414285714286,1983.2
2010-06-01,1.94,104.319968456591,8597.0,26565.0,75.41,76.43,77.28,78.0,4.785,4.832,4.876,4.9689999999999985,75.3536363636364,2010.7
2010-07-01,1.77,104.670888883413,8606.6,28120.0,76.38,76.82,77.29,77.83,4.59,4.592,4.659,4.914,76.1590909090909,2027.0
2010-08-01,1.68,104.814312821903,8656.9,28207.0,76.67,77.26,78.02,78.72,4.22,4.268,4.495,4.753,76.6018181818182,2062.6
2010-09-01,1.74,103.503289879001,8687.9,28711.0,75.55,76.82,78.08,79.06,3.898,4.099,4.35,4.508,75.26,2027.9
2010-10-01,2.01,103.968555164001,8737.0,28496.0,81.95,82.71,83.41,83.98,3.6,3.958,4.176,4.203,81.8995238095238,1952.6
2010-11-01,2.09,104.472756844673,8757.7,28009.0,84.32,84.89,85.41,85.84,4.042,4.208,4.211,4.1789999999999985,84.1918181818182,2003.1
2010-12-01,2.25,107.421572734666,8789.7,28920.0,89.23,89.85,90.4,90.81,4.283,4.303,4.291,4.275,89.2234782608696,2153.1
2011-01-01,2.33,110.040168560093,8826.2,28746.0,89.58,90.96,92.2,93.17,4.499,4.497,4.492,4.529,89.51,2070.1
2011-02-01,2.34,111.811528130314,8871.6,28858.0,89.74,92.47,94.7,96.06,4.0360000000000005,4.079,4.142,4.203,89.366,2032.1
2011-03-01,2.45,119.527834594248,8916.0,30530.0,102.98,103.9,104.47,104.89,4.069,4.1389999999999985,4.207,4.277,102.916086956522,2009.6
2011-04-01,2.6,124.939007861209,8978.2,27926.0,110.04,110.58,111.01,111.26,4.272,4.333,4.4060000000000015,4.449,110.042857142857,2002.1
2011-05-01,2.39,128.330417210873,9029.5,27726.0,101.36,101.88,102.26,102.55,4.336,4.394,4.436,4.461,101.251363636364,2036.1
2011-06-01,2.24,125.271692254614,9113.7,28220.0,96.29,96.83,97.31,97.77,4.516,4.544,4.566,4.6080000000000005,96.2540909090909,2020.2
2011-07-01,2.38,124.52795781069,9301.6,29979.0,97.34,97.76,98.2,98.67,4.353,4.339,4.37,4.499,97.1938095238095,2089.3
2011-08-01,2.16,124.057271002243,9515.3,27890.0,86.34,86.66,87.05,87.45,3.984,3.995,4.137,4.347,86.3213043478261,2080.0
2011-09-01,1.9,123.453017570665,9539.9,27607.0,85.61,85.81,86.06,86.3,3.849,3.954,4.175,4.294,85.6168181818182,2043.1
2011-10-01,1.96,118.732349244683,9571.5,29634.0,86.43,86.56,86.63,86.71,3.624,3.867,4.002,4.015,86.4061904761905,2043.9
2011-11-01,2.01,117.389290026861,9612.5,28908.0,97.16,97.18,97.16,97.12,3.5580000000000003,3.678,3.694,3.682,97.0663636363636,2037.9
2011-12-01,2.01,114.492717908278,9651.3,29150.0,98.58,98.74,98.92,99.05,3.2460000000000004,3.284,3.3110000000000004,3.363,98.6122727272727,2010.5
2012-01-01,2.08,116.780600803371,9730.6,29958.0,100.32,100.54,100.83,101.11,2.708,2.758,2.852,2.922,100.148636363636,1988.2
2012-02-01,2.22,119.600285862145,9773.4,29799.0,102.26,102.67,103.17,103.63,2.526,2.68,2.79,2.878,102.262857142857,1996.9
2012-03-01,2.31,124.990265901082,9818.0,30200.0,106.21,106.7,107.19,107.58,2.296,2.404,2.509,2.605,106.150454545455,1917.6
2012-04-01,2.26,126.043520047315,9872.4,32073.0,103.35,103.83,104.27,104.63,2.048,2.154,2.274,2.35,103.284285714286,2155.7
2012-05-01,2.14,123.367258927031,9903.9,32169.0,94.72,95.05,95.33,95.58,2.4930000000000003,2.569,2.624,2.667,94.5069565217391,2279.0
2012-06-01,2.12,120.34155597723,9973.8,32151.0,82.41,82.71,83.05,83.4,2.498,2.539,2.576,2.676,82.3595238095238,2277.7
2012-07-01,2.13,118.273984080436,10046.9,31686.0,87.93,88.27,88.61,89.02,2.963,2.958,2.994,3.19,87.8904545454546,2285.4
2012-08-01,2.27,123.367258927031,10118.0,30943.0,94.16,94.45,94.77,95.17,2.807,2.8480000000000003,3.034,3.294,94.1104347826087,2213.4
2012-09-01,2.43,126.337268045048,10200.2,31224.0,94.56,94.9,95.25,95.64,2.918,3.087,3.332,3.463,94.606,2215.4
2012-10-01,2.5,123.474210798689,10261.5,30263.0,89.57,89.99,90.49,90.97,3.5,3.789,3.911,3.918,89.5173913043478,2222.2
2012-11-01,2.42,117.768303802459,10320.1,31280.0,86.73,87.25,87.86,88.44,3.687,3.801,3.808,3.784,86.6895454545455,2152.2
2012-12-01,2.48,115.070849454151,10445.9,31262.0,88.25,88.78,89.35,89.89,3.444,3.475,3.488,3.513,88.1914285714286,1978.2
2013-01-01,2.52,115.638137953128,10471.7,32161.0,94.83,95.28,95.68,96.0,3.35,3.365,3.403,3.458,94.6526086956521,2089.6
2013-02-01,2.55,122.302668868134,10468.5,33235.0,95.32,95.82,96.28,96.65,3.314,3.37,3.431,3.489,95.295,2163.5
2013-03-01,2.55,123.002045392937,10540.0,32387.0,92.96,93.34,93.61,93.75,3.773,3.809,3.852,3.897,93.1180952380952,2263.1
2013-04-01,2.41,120.632346780354,10575.3,33468.0,92.07,92.37,92.55,92.56,4.1610000000000005,4.2010000000000005,4.245,4.265,92.0190909090909,2184.1
2013-05-01,2.29,122.134601641243,10611.5,33021.0,94.8,95.02,95.03,94.79,4.0680000000000005,4.114,4.134,4.133,94.7186956521739,2122.8
2013-06-01,2.05,124.163237142364,10666.0,33376.0,95.8,95.9,95.79,95.42,3.806,3.825,3.825,3.844,95.7895,2117.3
2013-07-01,2.12,123.891668104192,10721.9,32545.0,104.7,104.22,102.93,101.55,3.641,3.645,3.667,3.75,104.545217391304,2126.6
2013-08-01,2.19,123.221863525469,10780.3,33925.0,106.54,106.02,104.82,103.42,3.4130000000000003,3.447,3.569,3.74,106.546363636364,2127.1
2013-09-01,2.15,122.483550604993,10832.7,33786.0,106.24,105.57,104.31,102.93,3.618,3.705,3.858,3.938,106.31380952381,2152.9
2013-10-01,2.19,117.56031444836,10945.6,34808.0,100.55,100.6,100.3,99.74,3.654,3.789,3.875,3.879,100.500434782609,2174.8
2013-11-01,2.17,114.904753690332,10953.3,36729.0,93.93,94.35,94.56,94.59,3.64,3.69,3.694,3.683,93.8123809523809,2288.8
2013-12-01,2.16,115.597722960152,11015.9,33758.0,97.89,98.09,97.96,97.51,4.277,4.2810000000000015,4.249,4.114,97.9022727272727,2302.5
2014-01-01,2.23,118.066487592104,11066.4,33082.0,94.86,94.78,94.44,93.93,4.542,4.425,4.188,4.162,94.9965217391304,2341.0
2014-02-01,2.16,119.293723354444,11148.9,35331.0,100.68,100.11,99.28,98.39,5.1629999999999985,4.631,4.556,4.575,100.704,2335.7
2014-03-01,2.16,123.484068114049,11190.5,35546.0,100.51,99.88,99.04,98.14,4.4860000000000015,4.456,4.484,4.516,100.573333333333,2280.9
2014-04-01,2.17,124.555558293699,11246.9,34905.0,102.04,101.3,100.44,99.52,4.6080000000000005,4.628,4.658,4.6530000000000005,102.178636363636,2191.5
2014-05-01,2.19,126.164765026245,11314.6,36930.0,101.8,101.11,100.18,99.19,4.5360000000000005,4.542,4.532,4.506,102.003181818182,2188.2
2014-06-01,2.23,128.075112743044,11366.8,35780.0,105.15,104.48,103.56,102.54,4.5939999999999985,4.597,4.578,4.578,105.241904761905,2111.4
2014-07-01,2.26,127.113531629661,11428.0,38570.0,102.39,101.46,100.65,99.89,4.025,4.027,4.038,4.083,102.986086956522,2074.3
2014-08-01,2.2,123.685157347396,11457.3,36571.0,96.08,95.02,94.57,94.27,3.899,3.932,4.002,4.093,96.3814285714286,2131.7
2014-09-01,2.07,121.775795362133,11492.2,36913.0,93.03,92.18,91.67,91.39,3.921,3.977,4.06,4.122,93.3490909090909,2190.0
2014-10-01,1.92,115.697774711057,11552.6,37302.0,84.34,83.73,83.31,82.98,3.801,3.885,3.959,3.946,84.4,2221.0
2014-11-01,1.88,109.339313437985,11591.7,36791.0,75.81,75.83,75.84,75.89,4.235,4.335,4.299,4.171,75.7015,2330.3
2014-12-01,1.7,103.395845141576,11670.3,38140.0,59.29,59.57,59.88,60.25,3.509,3.529,3.4960000000000004,3.333,59.0995652173913,2106.2
2015-01-01,1.61,94.9353113679489,11733.4,35825.0,47.33,47.9,48.72,49.62,2.929,2.9130000000000003,2.883,2.904,47.6036363636364,2283.1
2015-02-01,1.72,96.8959313930851,11852.6,35693.0,50.73,51.82,53.13,54.45,2.755,2.7710000000000004,2.806,2.85,50.7175,2523.8
2015-03-01,1.76,100.904901550063,11869.0,38740.0,47.85,49.62,51.17,52.44,2.747,2.777,2.821,2.872,47.7836363636364,2300.6
2015-04-01,1.86,100.404149929767,11916.4,37706.0,54.63,56.13,57.17,57.84,2.591,2.634,2.69,2.715,54.2036363636364,2259.5
2015-05-01,1.87,105.635920057172,11947.8,38368.0,59.37,60.16,60.59,60.91,2.8560000000000003,2.901,2.92,2.928,59.262380952381,2241.1
2015-06-01,1.86,108.854826388033,11993.3,39210.0,59.83,60.22,60.53,60.78,2.769,2.793,2.807,2.846,59.8045454545455,2289.2
2015-07-01,1.82,108.357524828113,12045.5,40096.0,50.93,51.34,51.81,52.38,2.805,2.812,2.849,2.962,51.1617391304348,2271.3
2015-08-01,1.61,105.102639296188,12097.0,39037.0,42.89,43.48,44.34,45.14,2.753,2.784,2.883,3.034,42.8633333333333,2253.8
2015-09-01,1.52,99.3819463269179,12154.0,39684.0,45.47,45.96,46.55,47.18,2.639,2.724,2.875,2.9760000000000004,45.4813636363636,2285.6
2015-10-01,1.5,95.8628847433402,12187.9,38747.0,46.25,46.89,47.63,48.3,2.378,2.594,2.7260000000000004,2.735,46.1963636363636,2301.0
2015-11-01,1.57,93.2832253135858,12277.7,39538.0,42.92,44.12,45.12,45.96,2.281,2.428,2.465,2.47,42.6523809523809,2228.0
2015-12-01,1.51,90.3807388057862,12336.1,39018.0,37.33,38.6,39.66,40.52,2.044,2.102,2.156,2.224,37.2413043478261,2029.8
2016-01-01,1.42,88.8001182877843,12461.5,39969.0,31.78,33.04,34.21,35.23,2.233,2.245,2.301,2.353,31.7047619047619,2278.8
2016-02-01,1.31,84.8029769092388,12533.7,40544.0,30.62,32.57,34.17,35.4,1.929,1.999,2.068,2.134,30.3485714285714,2213.3
2016-03-01,1.55,88.231351191503,12595.4,39058.0,37.96,39.5,40.44,41.14,1.812,1.906,2.011,2.106,37.7739130434783,2086.1
2016-04-01,1.62,91.5015155622366,12685.0,39955.0,41.13,42.29,43.03,43.52,2.014,2.124,2.231,2.293,40.9628571428571,2366.1
2016-05-01,1.6,94.9619261194214,12751.2,38430.0,46.8,47.4,47.82,48.18,2.083,2.231,2.311,2.361,46.8459090909091,2364.0
2016-06-01,1.47,98.5904039034969,12819.6,39044.0,48.84,49.46,49.97,50.41,2.634,2.679,2.704,2.7710000000000004,48.7486363636364,2400.6
2016-07-01,1.46,96.5721185835038,12880.8,39954.0,44.8,45.52,46.19,46.87,2.761,2.744,2.798,2.977,44.8919047619048,2382.8
2016-08-01,1.47,95.3813548879962,12968.2,39832.0,44.8,45.49,46.2,46.88,2.722,2.77,2.93,3.159,44.7491304347826,2412.6
2016-09-01,1.51,96.5287463959191,13031.5,40075.0,45.23,45.81,46.44,47.05,2.903,2.998,3.193,3.306,45.1672727272727,2329.2
2016-10-01,1.66,96.0033514872224,13105.4,39582.0,49.87,50.38,50.94,51.47,3.064,3.32,3.446,3.45,49.8852380952381,2220.0
2016-11-01,1.82,94.3354937282831,13178.6,39215.0,45.87,46.56,47.29,47.98,2.875,3.018,3.047,3.031,45.6231818181818,2146.5
2016-12-01,1.93,95.2739101505705,13209.8,40337.0,52.17,53.14,53.99,54.64,3.591,3.593,3.547,3.4210000000000003,52.0136363636364,2246.8
2017-01-01,2.01,98.3799502205574,13282.5,40311.0,52.61,53.39,54.1,54.72,3.2910000000000004,3.292,3.294,3.305,52.5595454545455,2148.9
2017-02-01,2.02,97.683530890362,13340.2,39374.0,53.46,53.93,54.32,54.64,2.907,2.999,3.067,3.13,53.4015,2050.8
2017-03-01,1.99,97.8816629291013,13405.5,38883.0,49.67,50.22,50.61,50.91,2.992,3.067,3.14,3.202,49.5847826086957,2238.3
2017-04-01,1.91,99.9871854900318,13470.3,38383.0,51.12,51.52,51.84,52.09,3.189,3.275,3.344,3.3680000000000003,51.168,2202.2
2017-05-01,1.83,100.116809187018,13520.9,40081.0,48.54,48.86,49.12,49.34,3.236,3.317,3.346,3.332,48.5595652173913,2270.3
2017-06-01,1.73,100.863007959782,13550.8,39812.0,45.2,45.43,45.65,45.87,2.994,3.019,3.013,3.042,45.1677272727273,2285.2
2017-07-01,1.77,99.8319327731092,13616.1,38739.0,46.68,46.84,47.02,47.22,2.955,2.951,2.988,3.067,46.6738095238095,2304.7
2017-08-01,1.78,101.478104438256,13671.0,39896.0,48.06,48.3,48.51,48.68,2.905,2.942,3.023,3.1630000000000003,48.0317391304348,2288.9
2017-09-01,1.83,106.316567682792,13716.9,39617.0,49.88,50.31,50.64,50.88,3.006,3.082,3.229,3.324,49.7061904761905,2290.8
2017-10-01,1.86,102.166145050396,13779.0,40044.0,51.69,51.96,52.15,52.28,2.9160000000000004,3.091,3.2030000000000003,3.2060000000000004,51.5645454545455,2342.7
2017-11-01,1.85,103.197713102836,13809.5,40832.0,56.54,56.71,56.78,56.8,3.064,3.151,3.149,3.099,56.7104545454546,2344.9
2017-12-01,1.9,101.825081938934,13852.0,40151.0,57.95,57.99,57.97,57.9,2.776,2.779,2.737,2.669,57.962380952381,2402.5
