,doc_id,maturity,vol_1,vol_1_type,average strike price,price_1,price_1_type,price_2,price_2_type,sfas 133 hedge,product_type,instrument_type,price_3,price_3_type,price_4,price_4_type,sfas 133hedge,premiumsreceived,net premiumsreceived ($ inthousands),"sfas 133hedge,",sfas 133 hedge,"sfas 133 hedge,","net premiums received ($ in thousands),",netpremiums($ inmillions),"netpremiums($ inmillions),",netpremiums($ in millions),",,",vol_2,vol_2_type,",,,"
8,CHK20070301,22008,49822500,volume,,8.36,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,weightedaveragedifferential,,,,,,,Yes,,,,,,,,,
9,CHK20070301,32008,50370000,volume,,8.42,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,weightedaveragedifferential,,,,,,,Yes,,,,,,,,,
10,CHK20070301,42008,50370000,volume,,9.03,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,weightedaveragedifferential,,,,,,,Yes,,,,,,,,,
13,CHK20070301,12007,37350000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.36,weightedaveragedifferential,,,,,,,No,,,,,,,,,
14,CHK20070301,22007,34125000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.35,weightedaveragedifferential,,,,,,,No,,,,,,,,,
15,CHK20070301,32007,34500000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.35,weightedaveragedifferential,,,,,,,No,,,,,,,,,
16,CHK20070301,42007,35720000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.32,weightedaveragedifferential,,,,,,,No,,,,,,,,,
17,CHK20070301,12008,33215000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.30,weightedaveragedifferential,,,,,,,No,,,,,,,,,
18,CHK20070301,22008,26845000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.25,weightedaveragedifferential,,,,,,,No,,,,,,,,,
19,CHK20070301,32008,27140000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.25,weightedaveragedifferential,,,,,,,No,,,,,,,,,
20,CHK20070301,42008,31410000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.28,weightedaveragedifferential,,,,,,,No,,,,,,,,,
21,CHK20070301,12009,26100000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.32,weightedaveragedifferential,,,,,,,No,,,,,,,,,
22,CHK20070301,22009,20020000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.28,weightedaveragedifferential,,,,,,,No,,,,,,,,,
23,CHK20070301,32009,20240000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.28,weightedaveragedifferential,,,,,,,No,,,,,,,,,
24,CHK20070301,42009,20240000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (mid-continent),Neg0.28,weightedaveragedifferential,,,,,,,No,,,,,,,,,
27,CHK20070301,12007,9000000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (appalachian basin),0.35,weightedaveragedifferential,,,,,,,No,,,,,,,,,
28,CHK20070301,22007,9100000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (appalachian basin),0.35,weightedaveragedifferential,,,,,,,No,,,,,,,,,
29,CHK20070301,32007,9200000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (appalachian basin),0.35,weightedaveragedifferential,,,,,,,No,,,,,,,,,
30,CHK20070301,42007,9200000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (appalachian basin),0.35,weightedaveragedifferential,,,,,,,No,,,,,,,,,
31,CHK20070301,12008,9100000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (appalachian basin),0.35,weightedaveragedifferential,,,,,,,No,,,,,,,,,
32,CHK20070301,22008,9100000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (appalachian basin),0.35,weightedaveragedifferential,,,,,,,No,,,,,,,,,
33,CHK20070301,32008,9200000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (appalachian basin),0.35,weightedaveragedifferential,,,,,,,No,,,,,,,,,
34,CHK20070301,42008,9200000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (appalachian basin),0.35,weightedaveragedifferential,,,,,,,No,,,,,,,,,
35,CHK20070301,12009,4500000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (appalachian basin),0.31,weightedaveragedifferential,,,,,,,No,,,,,,,,,
36,CHK20070301,22009,4550000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (appalachian basin),0.31,weightedaveragedifferential,,,,,,,No,,,,,,,,,
37,CHK20070301,32009,4600000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (appalachian basin),0.31,weightedaveragedifferential,,,,,,,No,,,,,,,,,
38,CHK20070301,42009,4600000,volume,,,fixedprice to bereceived,,put,,natural gas (mmbtu),basis protection swaps (appalachian basin),0.31,weightedaveragedifferential,,,,,,,No,,,,,,,,,
41,CHK20070301,12007,12150000,volume,,11.48,fixedprice to bereceived,5.70,put,,natural gas (mmbtu),cap-swaps,,weightedaveragedifferential,,,,,,,No,,,,,,,,,
42,CHK20070301,22007,19110000,volume,,9.57,fixedprice to bereceived,5.91,put,,natural gas (mmbtu),cap-swaps,,weightedaveragedifferential,,,,,,,No,,,,,,,,,
43,CHK20070301,32007,19320000,volume,,9.76,fixedprice to bereceived,5.91,put,,natural gas (mmbtu),cap-swaps,,weightedaveragedifferential,,,,,,,No,,,,,,,,,
44,CHK20070301,42007,19320000,volume,,10.56,fixedprice to bereceived,5.91,put,,natural gas (mmbtu),cap-swaps,,weightedaveragedifferential,,,,,,,No,,,,,,,,,
45,CHK20070301,12008,19110000,volume,,11.58,fixedprice to bereceived,6.18,put,,natural gas (mmbtu),cap-swaps,,weightedaveragedifferential,,,,,,,No,,,,,,,,,
46,CHK20070301,22008,19110000,volume,,10.00,fixedprice to bereceived,6.18,put,,natural gas (mmbtu),cap-swaps,,weightedaveragedifferential,,,,,,,No,,,,,,,,,
47,CHK20070301,32008,19320000,volume,,10.09,fixedprice to bereceived,6.18,put,,natural gas (mmbtu),cap-swaps,,weightedaveragedifferential,,,,,,,No,,,,,,,,,
48,CHK20070301,42008,19320000,volume,,10.65,fixedprice to bereceived,6.18,put,,natural gas (mmbtu),cap-swaps,,weightedaveragedifferential,,,,,,,No,,,,,,,,,
3,CHK20070301,12007,Neg3410000,"volume,",,Neg8.33,fixedprice to bereceived,,put,,,counter-swaps,,call,,,,,,,,No,,,,,,,,
4,CHK20070301,22007,Neg1375000,"volume,",,Neg7.73,fixedprice to bereceived,,put,,,counter-swaps,,call,,,,,,,,No,,,,,,,,
7,CHK20070301,12007,1800000,"volume,",,,fixedprice to bereceived,,put,,,call options,12.50,call,,,,,,,,No,1890,,,,,,,
8,CHK20070301,22007,1820000,"volume,",,,fixedprice to bereceived,,put,,,call options,12.50,call,,,,,,,,No,1911,,,,,,,
9,CHK20070301,32007,1840000,"volume,",,,fixedprice to bereceived,,put,,,call options,12.50,call,,,,,,,,No,1932,,,,,,,
10,CHK20070301,42007,1840000,"volume,",,,fixedprice to bereceived,,put,,,call options,12.50,call,,,,,,,,No,1932,,,,,,,
11,CHK20070301,12008,1820000,"volume,",,,fixedprice to bereceived,,put,,,call options,12.50,call,,,,,,,,No,1911,,,,,,,
12,CHK20070301,22008,1820000,"volume,",,,fixedprice to bereceived,,put,,,call options,12.50,call,,,,,,,,No,1911,,,,,,,
13,CHK20070301,32008,1840000,"volume,",,,fixedprice to bereceived,,put,,,call options,12.50,call,,,,,,,,No,1932,,,,,,,
14,CHK20070301,42008,1840000,"volume,",,,fixedprice to bereceived,,put,,,call options,12.50,call,,,,,,,,No,1932,,,,,,,
20,CHK20070301,12007,937000,"volume,",,$71.01,fixedprice to bereceived,,put,,oil (bbls),swaps,,call,,,,,,,,Yes,,,,,,,,
21,CHK20070301,22007,1092000,"volume,",,70.04,fixedprice to bereceived,,put,,oil (bbls),swaps,,call,,,,,,,,Yes,,,,,,,,
22,CHK20070301,32007,1104000,"volume,",,69.71,fixedprice to bereceived,,put,,oil (bbls),swaps,,call,,,,,,,,Yes,,,,,,,,
23,CHK20070301,42007,1104000,"volume,",,69.31,fixedprice to bereceived,,put,,oil (bbls),swaps,,call,,,,,,,,Yes,,,,,,,,
24,CHK20070301,12008,1001000,"volume,",,70.44,fixedprice to bereceived,,put,,oil (bbls),swaps,,call,,,,,,,,Yes,,,,,,,,
25,CHK20070301,22008,1001000,"volume,",,70.02,fixedprice to bereceived,,put,,oil (bbls),swaps,,call,,,,,,,,Yes,,,,,,,,
26,CHK20070301,32008,1012000,"volume,",,69.60,fixedprice to bereceived,,put,,oil (bbls),swaps,,call,,,,,,,,Yes,,,,,,,,
27,CHK20070301,42008,920000,"volume,",,68.79,fixedprice to bereceived,,put,,oil (bbls),swaps,,call,,,,,,,,Yes,,,,,,,,
28,CHK20070301,12009,45000,"volume,",,66.64,fixedprice to bereceived,,put,,oil (bbls),swaps,,call,,,,,,,,Yes,,,,,,,,
29,CHK20070301,22009,45500,"volume,",,66.27,fixedprice to bereceived,,put,,oil (bbls),swaps,,call,,,,,,,,Yes,,,,,,,,
30,CHK20070301,32009,46000,"volume,",,65.92,fixedprice to bereceived,,put,,oil (bbls),swaps,,call,,,,,,,,Yes,,,,,,,,
31,CHK20070301,42009,46000,"volume,",,65.56,fixedprice to bereceived,,put,,oil (bbls),swaps,,call,,,,,,,,Yes,,,,,,,,
34,CHK20070301,12007,360000,"volume,",,78.53,fixedprice to bereceived,56.25,put,,oil (bbls),cap-swaps,,call,,,,,,,,No,,,,,,,,
35,CHK20070301,22007,364000,"volume,",,78.53,fixedprice to bereceived,56.25,put,,oil (bbls),cap-swaps,,call,,,,,,,,No,,,,,,,,
36,CHK20070301,32007,368000,"volume,",,78.53,fixedprice to bereceived,56.25,put,,oil (bbls),cap-swaps,,call,,,,,,,,No,,,,,,,,
37,CHK20070301,42007,368000,"volume,",,78.53,fixedprice to bereceived,56.25,put,,oil (bbls),cap-swaps,,call,,,,,,,,No,,,,,,,,
38,CHK20070301,12008,273000,"volume,",,77.60,fixedprice to bereceived,55.00,put,,oil (bbls),cap-swaps,,call,,,,,,,,No,,,,,,,,
39,CHK20070301,22008,273000,"volume,",,77.60,fixedprice to bereceived,55.00,put,,oil (bbls),cap-swaps,,call,,,,,,,,No,,,,,,,,
40,CHK20070301,32008,276000,"volume,",,77.60,fixedprice to bereceived,55.00,put,,oil (bbls),cap-swaps,,call,,,,,,,,No,,,,,,,,
41,CHK20070301,42008,276000,"volume,",,77.60,fixedprice to bereceived,55.00,put,,oil (bbls),cap-swaps,,call,,,,,,,,No,,,,,,,,
3,CHK20070301,12007,10350000,volume,,$4.82,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,,,,,Yes,,,,,,,,,
4,CHK20070301,22007,10465000,volume,,4.82,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,,,,,Yes,,,,,,,,,
5,CHK20070301,32007,10580000,volume,,4.82,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,,,,,Yes,,,,,,,,,
6,CHK20070301,42007,10580000,volume,,4.82,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,,,,,Yes,,,,,,,,,
7,CHK20070301,12008,9555000,volume,,4.68,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,,,,,Yes,,,,,,,,,
8,CHK20070301,22008,9555000,volume,,4.68,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,,,,,Yes,,,,,,,,,
9,CHK20070301,32008,9660000,volume,,4.68,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,,,,,Yes,,,,,,,,,
10,CHK20070301,42008,9660000,volume,,4.66,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,,,,,Yes,,,,,,,,,
11,CHK20070301,12009,4500000,volume,,5.18,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,,,,,Yes,,,,,,,,,
12,CHK20070301,22009,4550000,volume,,5.18,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,,,,,Yes,,,,,,,,,
13,CHK20070301,32009,4600000,volume,,5.18,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,,,,,Yes,,,,,,,,,
14,CHK20070301,42009,4600000,volume,,5.18,fixedprice to bereceived,,put,,natural gas (mmbtu),swaps,,call,,,,,,,Yes,,,,,,,,,
17,CHK20070301,12009,900000,volume,,,fixedprice to bereceived,4.50,put,,natural gas (mmbtu),collars,6.00,call,,,,,,,Yes,,,,,,,,,
18,CHK20070301,22009,910000,volume,,,fixedprice to bereceived,4.50,put,,natural gas (mmbtu),collars,6.00,call,,,,,,,Yes,,,,,,,,,
19,CHK20070301,32009,920000,volume,,,fixedprice to bereceived,4.50,put,,natural gas (mmbtu),collars,6.00,call,,,,,,,Yes,,,,,,,,,
20,CHK20070301,42009,920000,volume,,,fixedprice to bereceived,4.50,put,,natural gas (mmbtu),collars,6.00,call,,,,,,,Yes,,,,,,,,,
3,CHK20080229,12008,110665,volume,,$8.56,fixedprice to bereceived,,put,,natural gas (bbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
4,CHK20080229,22008,57425,volume,,7.93,fixedprice to bereceived,,put,,natural gas (bbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
5,CHK20080229,32008,56133,volume,,8.06,fixedprice to bereceived,,put,,natural gas (bbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
6,CHK20080229,42008,53770,volume,,8.62,fixedprice to bereceived,,put,,natural gas (bbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
7,CHK20080229,2009,57062,volume,,8.22,fixedprice to bereceived,,put,,natural gas (bbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
8,CHK20080229,2010,10199,volume,,7.86,fixedprice to bereceived,,put,,natural gas (bbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
9,CHK20080229,20112022,148,volume,,7.65,fixedprice to bereceived,,put,,natural gas (bbtu),swaps,,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
12,CHK20080229,12008,33215,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),basis protection swaps (mid-continent),,call,Neg0.30,weightedaveragedifferential,No,,,,,,,,,,,,,
13,CHK20080229,22008,26845,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),basis protection swaps (mid-continent),,call,Neg0.25,weightedaveragedifferential,No,,,,,,,,,,,,,
14,CHK20080229,32008,27140,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),basis protection swaps (mid-continent),,call,Neg0.25,weightedaveragedifferential,No,,,,,,,,,,,,,
15,CHK20080229,42008,31410,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),basis protection swaps (mid-continent),,call,Neg0.28,weightedaveragedifferential,No,,,,,,,,,,,,,
16,CHK20080229,2009,86600,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),basis protection swaps (mid-continent),,call,Neg0.29,weightedaveragedifferential,No,,,,,,,,,,,,,
17,CHK20080229,2012,10700,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),basis protection swaps (mid-continent),,call,Neg0.34,weightedaveragedifferential,No,,,,,,,,,,,,,
20,CHK20080229,12008,5622,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),basis protection swaps (appalachian basin),,call,0.32,weightedaveragedifferential,No,,,,,,,,,,,,,
21,CHK20080229,22008,5783,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),basis protection swaps (appalachian basin),,call,0.33,weightedaveragedifferential,No,,,,,,,,,,,,,
22,CHK20080229,32008,5763,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),basis protection swaps (appalachian basin),,call,0.33,weightedaveragedifferential,No,,,,,,,,,,,,,
23,CHK20080229,42008,5840,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),basis protection swaps (appalachian basin),,call,0.33,weightedaveragedifferential,No,,,,,,,,,,,,,
24,CHK20080229,2009,16912,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),basis protection swaps (appalachian basin),,call,0.28,weightedaveragedifferential,No,,,,,,,,,,,,,
25,CHK20080229,2010,10199,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),basis protection swaps (appalachian basin),,call,0.26,weightedaveragedifferential,No,,,,,,,,,,,,,
26,CHK20080229,2011,12086,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),basis protection swaps (appalachian basin),,call,0.25,weightedaveragedifferential,No,,,,,,,,,,,,,
27,CHK20080229,20122022,134,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),basis protection swaps (appalachian basin),,call,0.11,weightedaveragedifferential,No,,,,,,,,,,,,,
30,CHK20080229,12008,6370,volume,,$7.89,fixedprice to bereceived,,put,,natural gas (bbtu),other swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
31,CHK20080229,22008,6050,volume,,8.47,fixedprice to bereceived,,put,,natural gas (bbtu),other swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
32,CHK20080229,32008,4600,volume,,8.73,fixedprice to bereceived,,put,,natural gas (bbtu),other swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
33,CHK20080229,42008,4600,volume,,8.73,fixedprice to bereceived,,put,,natural gas (bbtu),other swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
34,CHK20080229,2009,22750,volume,,8.73,fixedprice to bereceived,,put,,natural gas (bbtu),other swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
35,CHK20080229,2010,18250,volume,,8.73,fixedprice to bereceived,,put,,natural gas (bbtu),other swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
38,CHK20080229,12008,8190,volume,,10.83,fixedprice to bereceived,5.94,put,,natural gas (bbtu),knockout swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
39,CHK20080229,22008,60380,volume,,9.15,fixedprice to bereceived,6.21,put,,natural gas (bbtu),knockout swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
40,CHK20080229,32008,62560,volume,,9.32,fixedprice to bereceived,6.21,put,,natural gas (bbtu),knockout swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
41,CHK20080229,42008,55240,volume,,9.91,fixedprice to bereceived,6.20,put,,natural gas (bbtu),knockout swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
42,CHK20080229,2009,152350,volume,,9.33,fixedprice to bereceived,6.13,put,,natural gas (bbtu),knockout swaps,,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
45,CHK20080229,12008,9600,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),call options,10.27,call,,weightedaveragedifferential,No,,,,,,,16,,,,,,
46,CHK20080229,22008,31850,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),call options,10.25,call,,weightedaveragedifferential,No,,,,,,,20,,,,,,
47,CHK20080229,32008,32200,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),call options,10.25,call,,weightedaveragedifferential,No,,,,,,,21,,,,,,
48,CHK20080229,42008,30980,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),call options,10.26,call,,weightedaveragedifferential,No,,,,,,,20,,,,,,
49,CHK20080229,2009,119500,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),call options,11.12,call,,weightedaveragedifferential,No,,,,,,,73,,,,,,
50,CHK20080229,2010,83950,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),call options,10.00,call,,weightedaveragedifferential,No,,,,,,,56,,,,,,
51,CHK20080229,2011,65700,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),call options,10.11,call,,weightedaveragedifferential,No,,,,,,,46,,,,,,
52,CHK20080229,2012,7320,volume,,,fixedprice to bereceived,,put,,natural gas (bbtu),call options,11.00,call,,weightedaveragedifferential,No,,,,,,,3,,,,,,
55,CHK20080229,12008,7590,volume,,,fixedprice to bereceived,7.32,put,,natural gas (bbtu),collars,9.17,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
56,CHK20080229,22008,2730,volume,,,fixedprice to bereceived,7.50,put,,natural gas (bbtu),collars,9.68,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
57,CHK20080229,32008,2760,volume,,,fixedprice to bereceived,7.50,put,,natural gas (bbtu),collars,9.68,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
58,CHK20080229,42008,2760,volume,,,fixedprice to bereceived,7.50,put,,natural gas (bbtu),collars,9.68,call,,weightedaveragedifferential,Yes,,,,,,,,,,,,,
61,CHK20080229,12008,10920,volume,,,fixedprice to bereceived,7.40/5.46,put,,natural gas (bbtu),other collars,9.35,call,,weightedaveragedifferential,No,,,,,,,,,,,,,
62,CHK20080229,2009,27375,volume,,,fixedprice to bereceived,7.97/5.83,put,,natural gas (bbtu),other collars,11.18,call,,weightedaveragedifferential,No,,,,,,,Neg8,,,,,,
4,CHK20080229,12008,1152,"volume,",,70.32,fixedprice to bereceived,,put,,oil (mbbls),swaps,,weightedaveragedifferential,,,,,,Yes,,,,,,,,,,
5,CHK20080229,22008,1183,"volume,",,70.25,fixedprice to bereceived,,put,,oil (mbbls),swaps,,weightedaveragedifferential,,,,,,Yes,,,,,,,,,,
6,CHK20080229,32008,1196,"volume,",,69.94,fixedprice to bereceived,,put,,oil (mbbls),swaps,,weightedaveragedifferential,,,,,,Yes,,,,,,,,,,
7,CHK20080229,42008,828,"volume,",,69.47,fixedprice to bereceived,,put,,oil (mbbls),swaps,,weightedaveragedifferential,,,,,,Yes,,,,,,,,,,
8,CHK20080229,2009,548,"volume,",,67.77,fixedprice to bereceived,,put,,oil (mbbls),swaps,,weightedaveragedifferential,,,,,,Yes,,,,,,,,,,
11,CHK20080229,12008,546,"volume,",,74.97,fixedprice to bereceived,53.58,put,,oil (mbbls),knockout swaps,,weightedaveragedifferential,,,,,,No,,,,,,,,,,
12,CHK20080229,22008,546,"volume,",,75.16,fixedprice to bereceived,53.58,put,,oil (mbbls),knockout swaps,,weightedaveragedifferential,,,,,,No,,,,,,,,,,
13,CHK20080229,32008,552,"volume,",,75.29,fixedprice to bereceived,53.58,put,,oil (mbbls),knockout swaps,,weightedaveragedifferential,,,,,,No,,,,,,,,,,
14,CHK20080229,42008,736,"volume,",,76.69,fixedprice to bereceived,55.19,put,,oil (mbbls),knockout swaps,,weightedaveragedifferential,,,,,,No,,,,,,,,,,
15,CHK20080229,2009,7483,"volume,",,82.62,fixedprice to bereceived,58.12,put,,oil (mbbls),knockout swaps,,weightedaveragedifferential,,,,,,No,,,,,,,,,,
16,CHK20080229,2010,3650,"volume,",,86.25,fixedprice to bereceived,60.00,put,,oil (mbbls),knockout swaps,,weightedaveragedifferential,,,,,,No,,,,,,,,,,
