,doc_id,maturity,vol_1,vol_1_type,price_1,price_1_type,instrument_type,product_type,red_flag,price_2,price_2_type,price_3,price_3_type
5,APA20060314,2006,32850000,mmbtu/bbl,$5.50/ 6.66,ceiling,collar,natural gas,,,,,
6,APA20060314,2006,4404000,mmbtu/bbl,5.87,ceiling,swap,natural gas,,,,,
7,APA20060314,2006,4307000,mmbtu/bbl,32.07/ 40.66,ceiling,collar,oil,,,,,
8,APA20060314,2006,224000,mmbtu/bbl,38.50,ceiling,swap,oil,,,,,
9,APA20060314,2006,1533000,mmbtu/bbl,28.00,ceiling,put option,oil,,,,,
10,APA20060314,2007,24570000,mmbtu/bbl,5.25/ 6.20,ceiling,collar,natural gas,,,,,
11,APA20060314,2007,1761000,mmbtu/bbl,5.57,ceiling,swap,natural gas,,,,,
12,APA20060314,2007,1911000,mmbtu/bbl,33.00/ 39.25,ceiling,collar,oil,,,,,
13,APA20060314,2007,78000,mmbtu/bbl,36.89,ceiling,swap,oil,,,,,
5,APA20070301,2007,53770000,MMBtu,$5.25|8.65,floor,collar,natural gas,,$5.85|11.00,ceiling,$6.96/8.69,ceiling
6,APA20070301,2007,23725000,MMBtu,$6.85|7.00,floor,collar,natural gas,,$9.52|10.15,ceiling,$6.88/9.67,ceiling
7,APA20070301,2007,3650000,GJ,$6.24|6.24,floor,collar,natural gas,,$8.15|8.15,ceiling,$6.24/8.15,ceiling
8,APA20070301,2007,6473500,Bbl,$33.00|75.00,floor,collar,oil,,$39.25|85.00,ceiling,$59.78/70.62,ceiling
9,APA20070301,2008,25620000,MMBtu,$7.50|8.15,floor,collar,natural gas,,$10.47|10.80,ceiling,$7.96/10.56,ceiling
10,APA20070301,2008,23790000,MMbtu,$6.90|7.00,floor,collar,natural gas,,$9.55|10.05,ceiling,$6.91/9.74,ceiling
11,APA20070301,2008,3660000,GJ,$6.24|6.24,floor,collar,natural gas,,$8.13|8.13,ceiling,$6.24/8.13,ceiling
12,APA20070301,2008,4575000,Bbl,$69.00|69.00,floor,collar,oil,,$79.65|81.50,ceiling,$69.00/80.39,ceiling
5,APA20070301,2007,1761000,mmbtu/bbl,$5.46|5.71,fixed price,swap,natural gas,,$5.57,fixed price,,
6,APA20070301,2007,4458000,mmbtu/bbl,$36.78|73.26,fixed price,swap,oil,,$70.29,fixed price,,
7,APA20070301,2008,4392000,mmbtu/bbl,$66.85|70.90,fixed price,swap,oil,,$69.21,fixed price,,
4,APA20080229,2008,89670000,MMBtu,$7.24/10.28,ceiling,collar,natural gas,,,,,
5,APA20080229,2008,32940000,GJ,$6.66/10.44,ceiling,collar,natural gas,,,,,
6,APA20080229,2008,12261000,Bbl,$63.18/76.47,ceiling,collar,oil,,,,,
7,APA20080229,2009,14600000,MMBtu,$7.06/9.91,ceiling,collar,natural gas,,,,,
8,APA20080229,2009,29200000,GJ,$6.58/10.22,ceiling,collar,natural gas,,,,,
9,APA20080229,2009,7861000,Bbl,$59.38/72.65,ceiling,collar,oil,,,,,
10,APA20080229,2010,1350000,MMBtu,$7.17/10.58,ceiling,collar,natural gas,,,,,
11,APA20080229,2010,5464000,Bbl,$61.15/75.10,ceiling,collar,oil,,,,,
12,APA20080229,2011,2917000,Bbl,$63.12/76.42,ceiling,collar,oil,,,,,
13,APA20080229,2012,910000,Bbl,$64.00/76.55,ceiling,collar,oil,,,,,
5,APA20080229,2008,4574500,Bbl,$70.05,fixed price,swap,oil,,,,,
6,APA20080229,2009,549500,Bbl,$74.32,fixed price,swap,oil,,,,,
7,APA20080229,2010,2182250,Bbl,$71.98,fixed price,swap,oil,,,,,
8,APA20080229,2011,3436250,Bbl,$71.79,fixed price,swap,oil,,,,,
9,APA20080229,2012,2926000,Bbl,$71.34,fixed price,swap,oil,,,,,
10,APA20080229,2013,1086000,Bbl,$71.34,fixed price,swap,oil,,,,,
5,APA20090302,2009,368,mbbls,$67.95,fixed price,swap,oil,,,,,
6,APA20090302,2010,2018,mbbls,70.87,fixed price,swap,oil,,,,,
7,APA20090302,2011,3285,mbbls,71.16,fixed price,swap,oil,,,,,
8,APA20090302,2012,2926,mbbls,71.34,fixed price,swap,oil,,,,,
9,APA20090302,2013,1086,mbbls,71.34,fixed price,swap,oil,,,,,
5,APA20090302,2009,9321,mbbls,$63.39,floor,collar,oil,,$80.14,ceiling,,
6,APA20090302,2010,6016,mbbls,62.11,floor,collar,oil,,77.44,ceiling,,
7,APA20090302,2011,4377,mbbls,65.83,floor,collar,oil,,84.41,ceiling,,
8,APA20090302,2012,1456,mbbls,66.88,floor,collar,oil,,85.52,ceiling,,
6,APA20090302,2010,368,mbbls,129.50,call,call,oil,,,,,
7,APA20090302,2011,1095,mbbls,134.17,call,call,oil,,,,,
8,APA20090302,2012,364,mbbls,138.00,call,call,oil,,,,,
5,APA20090302,2009,18250,mmbtuin 000 s,$7.35,floor,collar,natural gas,,$10.19,ceiling,,
7,APA20090302,2010,1350,mmbtuin 000 s,7.17,floor,collar,natural gas,,10.58,ceiling,,
6,APA20090302,2009,29200,gjin 000 s,5.31,floor,collar,@,,8.25,ceiling,,
5,APA20100226,2010,2383,mbbls,$68.71,fixed price,swap,oil,,,,,
6,APA20100226,2011,3650,mbbls,70.12,fixed price,swap,oil,,,,,
7,APA20100226,2012,3292,mbbls,70.99,fixed price,swap,oil,,,,,
8,APA20100226,2013,1451,mbbls,72.01,fixed price,swap,oil,,,,,
9,APA20100226,2014,76,mbbls,74.50,fixed price,swap,oil,,,,,
5,APA20100226,2010,10396,mbbls,$65.01,floor,collar,oil,,$80.84,ceiling,,
6,APA20100226,2011,6202,mbbls,66.24,floor,collar,oil,,87.04,ceiling,,
7,APA20100226,2012,2554,mbbls,66.07,floor,collar,oil,,89.13,ceiling,,
6,APA20100226,2010,82125,mmbtuin 000 s,$5.81,fixed price,swap,natural gas,,,,,
8,APA20100226,2011,10038,mmbtuin 000 s,6.61,fixed price,swap,natural gas,,,,,
10,APA20100226,2012,2745,mmbtuin 000 s,6.73,fixed price,swap,natural gas,,,,,
12,APA20100226,2013,1825,mmbtuin 000 s,7.05,fixed price,swap,natural gas,,,,,
13,APA20100226,2014,755,mmbtuin 000 s,7.23,fixed price,swap,natural gas,,,,,
7,APA20100226,2010,54750,gjin 000 s,5.37,fixed price,swap,@,,,,,
9,APA20100226,2011,23725,gjin 000 s,6.75,fixed price,swap,@,,,,,
11,APA20100226,2012,29280,gjin 000 s,6.95,fixed price,swap,@,,,,,
6,APA20100226,2010,30550,mmbtuin 000 s,$5.48,floor,collar,natural gas,,$7.07,ceiling,,
8,APA20100226,2011,9125,mmbtuin 000 s,5.00,floor,collar,natural gas,,8.85,ceiling,,
10,APA20100226,2012,10980,mmbtuin 000 s,5.75,floor,collar,natural gas,,8.43,ceiling,,
9,APA20100226,2011,3650,gjin 000 s,6.50,floor,collar,@,,7.10,ceiling,,
11,APA20100226,2012,7320,gjin 000 s,6.50,floor,collar,@,,7.27,ceiling,,
4,APA20100226,2010,41975,mmbtuin 000 s,$(0.54,weighted average price,@,natural gas,,,,,
5,APA20110228,2011,5628,mbbls,$73.36,fixed price,swap,oil,,,,,
6,APA20110228,2012,3786,mbbls,72.26,fixed price,swap,oil,,,,,
7,APA20110228,2013,1860,mbbls,74.38,fixed price,swap,oil,,,,,
8,APA20110228,2014,76,mbbls,74.50,fixed price,swap,oil,,,,,
5,APA20110228,2011,30110,mbbls,$69.13,floor,collar,oil,,$96.59,ceiling,,
6,APA20110228,2012,9142,mbbls,69.30,floor,collar,oil,,98.11,ceiling,,
7,APA20110228,2013,2416,mbbls,78.02,floor,collar,oil,,103.06,ceiling,,
6,APA20110228,2011,75927,mmbtuin 000 s,$6.00,fixed price,swap,natural gas,,,,,
8,APA20110228,2012,41554,mmbtuin 000 s,$6.30,fixed price,swap,natural gas,,,,,
10,APA20110228,2013,7665,mmbtuin 000 s,$6.83,fixed price,swap,natural gas,,,,,
11,APA20110228,2014,755,mmbtuin 000 s,$7.23,fixed price,swap,natural gas,,,,,
7,APA20110228,2011,51100,gjin 000 s,C$6.26,fixed price,swap,@,,,,,
9,APA20110228,2012,43920,gjin 000 s,C$6.61,fixed price,swap,@,,,,,
6,APA20110228,2011,9125,mmbtuin 000 s,$5.00,floor,collar,natural gas,,$8.85,ceiling,,
8,APA20110228,2012,21960,mmbtuin 000 s,$5.54,floor,collar,natural gas,,$7.30,ceiling,,
10,APA20110228,2013,6825,mmbtuin 000 s,$5.35,floor,collar,natural gas,,$6.67,ceiling,,
7,APA20110228,2011,3650,gjin 000 s,C$6.50,floor,collar,@,,C$7.10,ceiling,,
9,APA20110228,2012,7320,gjin 000 s,C$6.50,floor,collar,@,,C$7.27,ceiling,,
2,APA20120229,2012,4110,mbbls,$73.40,fixed price,swap,oil,,,,,
3,APA20120229,2013,1972,mbbls,74.29,fixed price,swap,oil,,,,,
4,APA20120229,2014,76,mbbls,74.50,fixed price,swap,oil,,,,,
2,APA20120229,2012,12628,mbbls,$76.42,floor,collar,oil,,$101.06,ceiling,,
3,APA20120229,2013,4350,mbbls,82.17,floor,collar,oil,,108.33,ceiling,,
2,APA20120229,2012,48349,mmbtuin 000 s,$6.22,fixed price,swap,natural gas,,,,,
4,APA20120229,2013,10095,mmbtuin 000 s,$6.74,fixed price,swap,natural gas,,,,,
5,APA20120229,2014,1295,mmbtuin 000 s,$6.72,fixed price,swap,natural gas,,,,,
3,APA20120229,2012,43920,gjin 000 s,C$6.61,fixed price,swap,@,,,,,
2,APA20120229,2012,21960,mmbtuin 000 s,$5.54,floor,collar,natural gas,,$7.30,ceiling,,
4,APA20120229,2013,6825,mmbtuin 000 s,$5.35,floor,collar,natural gas,,$6.67,ceiling,,
3,APA20120229,2012,7320,gjin 000 s,C$6.50,floor,collar,@,,C$7.27,ceiling,,
2,APA20130301,2013,40292,mbbls,$97.31,fixed price,swap,oil,,,,,
3,APA20130301,2014,76,mbbls,74.50,fixed price,swap,oil,,,,,
2,APA20130301,2013,5701,mbbls,$82.84,floor,collar,oil,,$111.63,ceiling,,
2,APA20130301,2013,10095,mmbtuin 000 s,$6.74,fixed price,swap,natural gas,,,,,
3,APA20130301,2014,1295,mmbtuin 000 s,$6.72,fixed price,swap,natural gas,,,,,
2,APA20130301,2013,6825,mmbtuin 000 s,$5.35,floor,collar,natural gas,,$6.67,ceiling,,
2,APA20140228,2014,22889,mbbls,$90.77,fixed price,swap,oil,,,,,
3,APA20140228,2014,22812,mbbls,100.05,fixed price,swap,oil,,,,,
2,APA20140228,2014,1295,mmbtuin 000 s,$6.72,fixed price,swap,natural gas,,,,,
