,doc_id,maturity,vol_1,vol_1_type,price_1,price_1_type,price_2,price_2_type,price_3,price_3_type,product_type,instrument_type,old_maturity,red_flag,additional
2,CHK20030227,2003,57150000,volume,4.31,average strike price,,weighted average put,,weighted average differential,natural gas (mmbtu),swaps,2003,,
4,CHK20030227,2003,51100000,volume,3.60,average strike price,2.60,weighted average put,,weighted average differential,natural gas (mmbtu),cap-swaps,2003,,
6,CHK20030227,2003,91250000,volume,,average strike price,,weighted average put,neg0.15,weighted average differential,natural gas (mmbtu),basis protection swaps,2003,,
7,CHK20030227,2004,91500000,volume,,average strike price,,weighted average put,neg0.15,weighted average differential,natural gas (mmbtu),basis protection swaps,2004,,
8,CHK20030227,2005,98550000,volume,,average strike price,,weighted average put,neg0.16,weighted average differential,natural gas (mmbtu),basis protection swaps,2005,,
9,CHK20030227,2006,36500000,volume,,average strike price,,weighted average put,neg0.16,weighted average differential,natural gas (mmbtu),basis protection swaps,2006,,
10,CHK20030227,2007,45625000,volume,,average strike price,,weighted average put,neg0.16,weighted average differential,natural gas (mmbtu),basis protection swaps,2007,,
11,CHK20030227,2008,45750000,volume,,average strike price,,weighted average put,neg0.16,weighted average differential,natural gas (mmbtu),basis protection swaps,2008,,
12,CHK20030227,2009,36500000,volume,,average strike price,,weighted average put,neg0.16,weighted average differential,natural gas (mmbtu),basis protection swaps,2009,,
14,CHK20030227,2003,45700000,volume,3.74,average strike price,,weighted average put,,weighted average differential,natural gas (mmbtu),counter-swaps,2003,,
22,CHK20030227,2003,360000,volume,25.10,average strike price,,weighted average put,,weighted average differential,oil (bbls),swaps,2003,,
24,CHK20030227,2003,3015000,volume,28.10,average strike price,,weighted average put,,weighted average differential,oil (bbls),cap-swaps,2003,,
22,CHK20040315,2004,60760000,volume,6.30,weighted average call,,,,,natural gas (mmbtu),call options,2004,,
9,CHK20040315,2004,157380000,volume,neg0.17,weighted average differential,,,,,natural gas (mmbtu),basis protectionswaps,2004,,
10,CHK20040315,2005,109500000,volume,neg0.16,weighted average differential,,,,,natural gas (mmbtu),basis protectionswaps,2005,,
11,CHK20040315,2006,47450000,volume,neg0.16,weighted average differential,,,,,natural gas (mmbtu),basis protectionswaps,2006,,
12,CHK20040315,2007,63875000,volume,neg0.17,weighted average differential,,,,,natural gas (mmbtu),basis protectionswaps,2007,,
13,CHK20040315,2008,64050000,volume,neg0.17,weighted average differential,,,,,natural gas (mmbtu),basis protectionswaps,2008,,
14,CHK20040315,2009,36500000,volume,neg0.16,weighted average differential,,,,,natural gas (mmbtu),basis protectionswaps,2009,,
3,CHK20050309,2005,95355000,volume,$6.72,fixedprice to bereceived (paid),,weighted average put,,weighted average call,natural gas (mmbtu),swaps,2005,,
4,CHK20050309,2006,18250000,volume,6.60,fixedprice to bereceived (paid),,weighted average put,,weighted average call,natural gas (mmbtu),swaps,2006,,
14,CHK20050309,2005,60225000,volume,6.00,fixedprice to bereceived (paid),4.32,weighted average put,,weighted average call,natural gas (mmbtu),cap-swaps,2005,,
15,CHK20050309,2006,28350000,volume,6.52,fixedprice to bereceived (paid),4.93,weighted average put,,weighted average call,natural gas (mmbtu),cap-swaps,2006,,
18,CHK20050309,2006,neg7300000,volume,neg5.59,fixedprice to bereceived (paid),,weighted average put,,weighted average call,natural gas (mmbtu),counter swaps,2006,,
24,CHK20050309,2005,4380000,volume,,fixedprice to bereceived (paid),3.10,weighted average put,4.44,weighted average call,natural gas (mmbtu),collars,2005,,
36,CHK20050309,2005,1995500,volume,$40.20,fixedprice to bereceived (paid),$31.44,weighted average put,,weighted average call,oil (bbls),cap-swaps,2005,,
7,CHK20050309,2005,188590000,volume,neg0.26,weighted average differential,,,,,natural gas (mmbtu),basis protection swaps,2005,,
8,CHK20050309,2006,130140000,volume,neg0.32,weighted average differential,,,,,natural gas (mmbtu),basis protection swaps,2006,,
9,CHK20050309,2007,126495000,volume,neg0.28,weighted average differential,,,,,natural gas (mmbtu),basis protection swaps,2007,,
10,CHK20050309,2008,118610000,volume,neg0.27,weighted average differential,,,,,natural gas (mmbtu),basis protection swaps,2008,,
11,CHK20050309,2009,86600000,volume,neg0.29,weighted average differential,,,,,natural gas (mmbtu),basis protection swaps,2009,,
5,CHK20100301,2010,63478,bbtu,$7.59,"weighted average price,fixed,",,"weighted average price,put,(per mmbtu)",,,natural gas,swaps,q1|2010,,
6,CHK20100301,2010,64781,bbtu,7.27,"weighted average price,fixed,",,"weighted average price,put,(per mmbtu)",,,natural gas,swaps,q2|2010,,
7,CHK20100301,2010,51972,bbtu,7.32,"weighted average price,fixed,",,"weighted average price,put,(per mmbtu)",,,natural gas,swaps,q3|2010,,
8,CHK20100301,2010,53212,bbtu,7.40,"weighted average price,fixed,",,"weighted average price,put,(per mmbtu)",,,natural gas,swaps,q4|2010,,
9,CHK20100301,2011,22210,bbtu,7.99,"weighted average price,fixed,",,"weighted average price,put,(per mmbtu)",,,natural gas,swaps,2011,,
12,CHK20100301,2010,33890,bbtu,7.22,"weighted average price,fixed,",,"weighted average price,put,(per mmbtu)",,,natural gas,other swaps(a),q1|2010,,
13,CHK20100301,2010,43680,bbtu,7.61,"weighted average price,fixed,",,"weighted average price,put,(per mmbtu)",,,natural gas,other swaps(a),q2|2010,,
14,CHK20100301,2010,44160,bbtu,7.69,"weighted average price,fixed,",,"weighted average price,put,(per mmbtu)",,,natural gas,other swaps(a),q3|2010,,
15,CHK20100301,2010,44160,bbtu,8.04,"weighted average price,fixed,",,"weighted average price,put,(per mmbtu)",,,natural gas,other swaps(a),q4|2010,,
16,CHK20100301,2011,70510,bbtu,9.52,"weighted average price,fixed,",,"weighted average price,put,(per mmbtu)",,,natural gas,other swaps(a),2011,,
30,CHK20100301,2010,7360,bbtu,9.79,"weighted average price,fixed,",6.32,"weighted average price,put,(per mmbtu)",,,natural gas,knockout swaps,q3|2010,,
31,CHK20100301,2010,7360,bbtu,9.79,"weighted average price,fixed,",6.31,"weighted average price,put,(per mmbtu)",,,natural gas,knockout swaps,q4|2010,,
32,CHK20100301,2011,23650,bbtu,9.86,"weighted average price,fixed,",6.29,"weighted average price,put,(per mmbtu)",,,natural gas,knockout swaps,2011,,
19,CHK20100301,2010,29700,bbtu,6.24,"weighted average price,put,(per mmbtu)",8.06,"weighted average price,call,(per mmbtu)",,"netpremiums,netpremiums,($ in millions)",natural gas,collars,q1|2010,,
20,CHK20100301,2010,7280,bbtu,7.00,"weighted average price,put,(per mmbtu)",8.25,"weighted average price,call,(per mmbtu)",,"netpremiums,netpremiums,($ in millions)",natural gas,collars,q2|2010,,
23,CHK20100301,2010,13500,bbtu,4.29/7.05,"weighted average price,put,(per mmbtu)",9.49,"weighted average price,call,(per mmbtu)",,"netpremiums,netpremiums,($ in millions)",natural gas,other collars(b),q1|2010,,
24,CHK20100301,2010,9100,bbtu,4.35/7.07,"weighted average price,put,(per mmbtu)",9.91,"weighted average price,call,(per mmbtu)",5,"netpremiums,netpremiums,($ in millions)",natural gas,other collars(b),q2|2010,,
25,CHK20100301,2010,3680,bbtu,7.60,"weighted average price,put,(per mmbtu)",11.75,"weighted average price,call,(per mmbtu)",4,"netpremiums,netpremiums,($ in millions)",natural gas,other collars(b),q3|2010,,
26,CHK20100301,2010,3680,bbtu,7.60,"weighted average price,put,(per mmbtu)",11.75,"weighted average price,call,(per mmbtu)",4,"netpremiums,netpremiums,($ in millions)",natural gas,other collars(b),q4|2010,,
27,CHK20100301,2011,7300,bbtu,7.60,"weighted average price,put,(per mmbtu)",11.50,"weighted average price,call,(per mmbtu)",7,"netpremiums,netpremiums,($ in millions)",natural gas,other collars(b),2011,,
35,CHK20100301,2010,18585,bbtu,,"weighted average price,put,(per mmbtu)",10.19,"weighted average price,call,(per mmbtu)",41,"netpremiums,netpremiums,($ in millions)",natural gas,call options,q1|2010,,
36,CHK20100301,2010,28665,bbtu,,"weighted average price,put,(per mmbtu)",10.19,"weighted average price,call,(per mmbtu)",41,"netpremiums,netpremiums,($ in millions)",natural gas,call options,q2|2010,,
37,CHK20100301,2010,34040,bbtu,,"weighted average price,put,(per mmbtu)",10.22,"weighted average price,call,(per mmbtu)",43,"netpremiums,netpremiums,($ in millions)",natural gas,call options,q3|2010,,
38,CHK20100301,2010,34040,bbtu,,"weighted average price,put,(per mmbtu)",10.30,"weighted average price,call,(per mmbtu)",43,"netpremiums,netpremiums,($ in millions)",natural gas,call options,q4|2010,,
39,CHK20100301,2011,20987,bbtu,,"weighted average price,put,(per mmbtu)",10.73,"weighted average price,call,(per mmbtu)",42,"netpremiums,netpremiums,($ in millions)",natural gas,call options,2011,,
40,CHK20100301,2012,262605,bbtu,,"weighted average price,put,(per mmbtu)",8.46,"weighted average price,call,(per mmbtu)",16,"netpremiums,netpremiums,($ in millions)",natural gas,call options,2012,,
41,CHK20100301,2013,597828,bbtu,,"weighted average price,put,(per mmbtu)",9.10,"weighted average price,call,(per mmbtu)",102,"netpremiums,netpremiums,($ in millions)",natural gas,call options,2013|2020,,
50,CHK20100301,2011,45090,bbtu,neg0.82,"weighted average price,differential",neg3,"netpremiums,netpremiums,($ in millions)",,,natural gas,basis protection swaps,2011,,(non-appalachian basin)
51,CHK20100301,2012,57961,bbtu,neg0.90,"weighted average price,differential",neg3,"netpremiums,netpremiums,($ in millions)",,,natural gas,basis protection swaps,2012|2018,,(non-appalachian basin)
55,CHK20100301,2010,2293,bbtu,0.27,"weighted average price,differential",,"netpremiums,netpremiums,($ in millions)",,,natural gas,basis protection swaps,q1|2010,,(appalachian basin)
56,CHK20100301,2010,2513,bbtu,0.27,"weighted average price,differential",,"netpremiums,netpremiums,($ in millions)",,,natural gas,basis protection swaps,q2|2010,,(appalachian basin)
57,CHK20100301,2010,2660,bbtu,0.26,"weighted average price,differential",,"netpremiums,netpremiums,($ in millions)",,,natural gas,basis protection swaps,q3|2010,,(appalachian basin)
58,CHK20100301,2010,2732,bbtu,0.26,"weighted average price,differential",,"netpremiums,netpremiums,($ in millions)",,,natural gas,basis protection swaps,q4|2010,,(appalachian basin)
59,CHK20100301,2011,12086,bbtu,0.25,"weighted average price,differential",,"netpremiums,netpremiums,($ in millions)",,,natural gas,basis protection swaps,2011,,(appalachian basin)
60,CHK20100301,2012,134,bbtu,0.11,"weighted average price,differential",,"netpremiums,netpremiums,($ in millions)",,,natural gas,basis protection swaps,2012|2022,,(appalachian basin)
5,CHK20100301,2010,450,volume,$85.86,"weighted average price,fixed,",,"weighted average price,put,(per bbl)",,,oil,swaps,q1|2010,,
6,CHK20100301,2010,455,volume,85.86,"weighted average price,fixed,",,"weighted average price,put,(per bbl)",,,oil,swaps,q2|2010,,
7,CHK20100301,2010,460,volume,85.86,"weighted average price,fixed,",,"weighted average price,put,(per bbl)",,,oil,swaps,q3|2010,,
8,CHK20100301,2010,460,volume,85.86,"weighted average price,fixed,",,"weighted average price,put,(per bbl)",,,oil,swaps,q4|2010,,
11,CHK20100301,2010,360,volume,91.96,"weighted average price,fixed,",,"weighted average price,put,(per bbl)",,,oil,other swaps(c),q1|2010,,
12,CHK20100301,2010,364,volume,91.96,"weighted average price,fixed,",,"weighted average price,put,(per bbl)",,,oil,other swaps(c),q2|2010,,
13,CHK20100301,2010,368,volume,91.96,"weighted average price,fixed,",,"weighted average price,put,(per bbl)",,,oil,other swaps(c),q3|2010,,
14,CHK20100301,2010,368,volume,91.96,"weighted average price,fixed,",,"weighted average price,put,(per bbl)",,,oil,other swaps(c),q4|2010,,
15,CHK20100301,2011,2190,volume,91.76,"weighted average price,fixed,",,"weighted average price,put,(per bbl)",,,oil,other swaps(c),2011,,
18,CHK20100301,2010,1170,volume,90.25,"weighted average price,fixed,",60.00,"weighted average price,put,(per bbl)",,,oil,knock-out swaps,q1|2010,,
19,CHK20100301,2010,1183,volume,90.25,"weighted average price,fixed,",60.00,"weighted average price,put,(per bbl)",,,oil,knock-out swaps,q2|2010,,
20,CHK20100301,2010,1196,volume,90.25,"weighted average price,fixed,",60.00,"weighted average price,put,(per bbl)",,,oil,knock-out swaps,q3|2010,,
21,CHK20100301,2010,1196,volume,90.25,"weighted average price,fixed,",60.00,"weighted average price,put,(per bbl)",,,oil,knock-out swaps,q4|2010,,
22,CHK20100301,2011,1095,volume,104.75,"weighted average price,fixed,",60.00,"weighted average price,put,(per bbl)",,,oil,knock-out swaps,2011,,
23,CHK20100301,2012,732,volume,109.50,"weighted average price,fixed,",60.00,"weighted average price,put,(per bbl)",,,oil,knock-out swaps,2012,,
26,CHK20100301,2010,630,volume,105.00,"weighted average price,call,(per bbl)",neg1,"netpremiums,netpremiums,($ in millions)",,,oil,call options,q1|2010,,
27,CHK20100301,2010,637,volume,105.00,"weighted average price,call,(per bbl)",neg1,"netpremiums,netpremiums,($ in millions)",,,oil,call options,q2|2010,,
28,CHK20100301,2010,644,volume,105.00,"weighted average price,call,(per bbl)",neg1,"netpremiums,netpremiums,($ in millions)",,,oil,call options,q3|2010,,
29,CHK20100301,2010,644,volume,105.00,"weighted average price,call,(per bbl)",neg1,"netpremiums,netpremiums,($ in millions)",,,oil,call options,q4|2010,,
30,CHK20100301,2011,3650,volume,105.00,"weighted average price,call,(per bbl)",16,"netpremiums,netpremiums,($ in millions)",,,oil,call options,2011,,
31,CHK20100301,2012,8770,volume,99.59,"weighted average price,call,(per bbl)",16,"netpremiums,netpremiums,($ in millions)",,,oil,call options,2012|2014,,
5,CHK20110301,2011,89354,bbtu,$5.60,"weighted average price,fixed,",,,,,natural gas,swaps,q1|2011,,
6,CHK20110301,2011,91023,bbtu,5.35,"weighted average price,fixed,",,,,,natural gas,swaps,q2|2011,,
7,CHK20110301,2011,132480,bbtu,4.93,"weighted average price,fixed,",,,,,natural gas,swaps,q3|2011,,
8,CHK20110301,2011,132480,bbtu,4.93,"weighted average price,fixed,",,,,,natural gas,swaps,q4|2011,,
9,CHK20110301,2012,12800,bbtu,6.00,"weighted average price,fixed,",,,,,natural gas,swaps,2012,,
12,CHK20110301,2011,142545,bbtu,6.43,"weighted average price,fixed,",,,,,natural gas,other swaps(a),q1|2011,,
13,CHK20110301,2011,140512,bbtu,6.35,"weighted average price,fixed,",,,,,natural gas,other swaps(a),q2|2011,,
14,CHK20110301,2011,85880,bbtu,6.70,"weighted average price,fixed,",,,,,natural gas,other swaps(a),q3|2011,,
15,CHK20110301,2011,85880,bbtu,6.73,"weighted average price,fixed,",,,,,natural gas,other swaps(a),q4|2011,,
16,CHK20110301,2012,122180,bbtu,6.19,"weighted average price,fixed,",,,,,natural gas,other swaps(a),2012,,
19,CHK20110301,2012,161077,bbtu,6.54,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options,2012,,
20,CHK20110301,2013,436033,bbtu,6.44,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options,2013,,
21,CHK20110301,2014,330183,bbtu,6.44,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options,2014,,
22,CHK20110301,2015,226446,bbtu,6.31,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options,2015,,
23,CHK20110301,2016,324003,bbtu,8.31,"weighted average price,call,(per mmbtu)",,,,,natural gas,call options,2016|2020,,
33,CHK20110301,2011,19147,bbtu,neg0.82,"weighted average price,differential",,,,,natural gas,basis protection swaps,q2|2011,,(non-appalachian basin)
34,CHK20110301,2011,19397,bbtu,neg0.82,"weighted average price,differential",,,,,natural gas,basis protection swaps,q3|2011,,(non-appalachian basin)
35,CHK20110301,2011,6545,bbtu,neg0.82,"weighted average price,differential",,,,,natural gas,basis protection swaps,q4|2011,,(non-appalachian basin)
36,CHK20110301,2012,50532,bbtu,neg0.78,"weighted average price,differential",,,,,natural gas,basis protection swaps,2012,,(non-appalachian basin)
37,CHK20110301,2013,29349,bbtu,neg0.69,"weighted average price,differential",,,,,natural gas,basis protection swaps,2013|2019,,(non-appalachian basin)
41,CHK20110301,2011,11674,bbtu,0.14,"weighted average price,differential",,,,,natural gas,basis protection swaps,q1|2011,,(appalachian basin)
42,CHK20110301,2011,12186,bbtu,0.14,"weighted average price,differential",,,,,natural gas,basis protection swaps,q2|2011,,(appalachian basin)
43,CHK20110301,2011,12403,bbtu,0.14,"weighted average price,differential",,,,,natural gas,basis protection swaps,q3|2011,,(appalachian basin)
44,CHK20110301,2011,12324,bbtu,0.14,"weighted average price,differential",,,,,natural gas,basis protection swaps,q4|2011,,(appalachian basin)
45,CHK20110301,2012,134,bbtu,0.11,"weighted average price,differential",,,,,natural gas,basis protection swaps,2012|2022,,(appalachian basin)
5,CHK20110301,2011,180,bbtu,$91.35,"weighted average price,fixed,",,"weighted average price,put,(per mmbtu)",,,oil,swaps,q1|2011,,
